[05:20:52] [INFO] received Windows console close event; shutting log-core down
[07:03:58] [INFO] received Windows console close event; shutting log-core down
[07:06:46] [INFO] received Windows console close event; shutting log-core down
[07:08:07] [INFO] received Windows console close event; shutting log-core down
[07:10:24] [INFO] received Windows console close event; shutting log-core down
[07:11:25] [INFO] received Windows console close event; shutting log-core down
[07:17:41] [INFO] received Windows console close event; shutting log-core down
[07:31:11] [INFO] received Windows console close event; shutting log-core down
[07:57:01] [INFO] received Windows console close event; shutting log-core down
[07:57:12] [INFO] received Windows console close event; shutting log-core down
[10:17:14] [INFO] received Windows console close event; shutting log-core down
[10:18:06] [INFO] received Windows console close event; shutting log-core down
[10:19:46] [INFO] received Windows console close event; shutting log-core down
[10:21:11] [INFO] received Windows console close event; shutting log-core down
[10:30:25] [INFO] received Windows console close event; shutting log-core down
